adp_rank,name,position,team,adp,adp_formatted,high,low,stdev,times_drafted,bye,source,scoring,league_size,total_drafts,sample_start,sample_end,snapshot_date
1,Bijan Robinson,RB,ATL,1.7,1.02,1,4,0.7,1152,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
2,Jahmyr Gibbs,RB,DET,1.8,1.02,1,4,0.7,1439,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
3,Puka Nacua,WR,LAR,3.1,1.03,1,5,0.8,227,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
4,Ja'Marr Chase,WR,CIN,3.9,1.04,1,8,1.0,1685,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
5,Jaxon Smith-Njigba,WR,SEA,5.4,1.05,2,9,1.1,867,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
6,Amon-Ra St. Brown,WR,DET,6.3,1.06,3,11,1.3,921,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
7,Christian McCaffrey,RB,SF,6.5,1.07,2,13,1.6,1323,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
8,Jonathan Taylor,RB,IND,7.4,1.07,2,14,1.8,1429,13,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
9,Drake London,WR,ATL,10.1,1.10,5,16,1.6,252,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
10,De'Von Achane,RB,MIA,10.2,1.10,5,16,1.9,695,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
11,CeeDee Lamb,WR,DAL,10.7,1.11,5,19,2.0,1019,14,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
12,Justin Jefferson,WR,MIN,11.8,1.12,6,19,2.2,1044,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
13,James Cook III,RB,BUF,12.3,1.12,5,22,2.8,2013,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
14,Chase Brown,RB,CIN,13.7,2.02,6,22,2.7,1554,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
