team,phase,unit,eligible_plays,joined_plays,qb_location_known,under_center,motion_known,motion_plays,dropbacks,play_action_known,play_action_dropbacks,play_action_epa,non_play_action_epa
NE,REG,offense,1014,1014,1011,452,1014,536,613,613,148,0.33941,0.293367
NE,REG,defense,963,963,960,291,963,559,589,589,146,-0.116126,-0.012448
NE,POST,offense,250,250,250,98,250,109,155,155,24,-0.320267,-0.146835
NE,POST,defense,260,260,260,91,260,160,173,173,32,-0.570525,-0.213706
NE,SB,offense,66,66,66,13,66,23,53,53,5,0.062109,-0.35795
NE,SB,defense,71,71,71,36,71,44,40,40,10,0.244195,-0.042961
SEA,REG,offense,994,994,994,531,994,567,518,518,131,0.404591,0.020219
SEA,REG,defense,1056,1056,1056,298,1056,571,689,689,147,-0.134321,-0.063174
SEA,POST,offense,188,188,188,99,188,116,99,99,26,0.227787,0.267727
SEA,POST,defense,183,183,183,64,183,93,128,128,21,0.435776,-0.247612
SEA,SB,offense,71,71,71,36,71,44,40,40,10,0.244195,-0.042961
SEA,SB,defense,66,66,66,13,66,23,53,53,5,0.062109,-0.35795
