player,season,team,games,starts,completions,pass_attempts,pass_yards,pass_td,interceptions,sacks,rush_attempts,rush_yards,rush_td,receptions,rec_yards,rec_td,fumbles,fumbles_lost,source_url
a-j-brown,2019,Tennessee Titans,16,11,,,,,,,3,60,1,52,1051,8,1,0,https://www.patriots.com/team/players-roster/a-j-brown/
a-j-brown,2020,Tennessee Titans,14,12,,,,,,,,,,70,1075,11,2,1,https://www.patriots.com/team/players-roster/a-j-brown/
a-j-brown,2021,Tennessee Titans,13,13,,,,,,,2,10,0,63,869,5,0,0,https://www.patriots.com/team/players-roster/a-j-brown/
a-j-brown,2022,Philadelphia Eagles,17,16,,,,,,,,,,88,1496,11,2,2,https://www.patriots.com/team/players-roster/a-j-brown/
a-j-brown,2023,Philadelphia Eagles,17,17,,,,,,,,,,106,1456,7,2,2,https://www.patriots.com/team/players-roster/a-j-brown/
a-j-brown,2024,Philadelphia Eagles,13,13,,,,,,,,,,67,1079,7,,,https://www.patriots.com/team/players-roster/a-j-brown/
a-j-brown,2025,Philadelphia Eagles,15,15,,,,,,,,,,78,1003,7,,,https://www.patriots.com/team/players-roster/a-j-brown/
a-j-brown,TOTAL,,105,97,,,,,,,5,70,1,524,8029,56,7,5,https://www.patriots.com/team/players-roster/a-j-brown/
aj-barner,2024,Seattle Seahawks,17,6,,,,,,,,,,30,245,4,,,https://www.seahawks.com/team/players-roster/aj-barner/
aj-barner,2025,Seattle Seahawks,17,17,,,,,,,10,14,1,52,519,6,2,0,https://www.seahawks.com/team/players-roster/aj-barner/
aj-barner,TOTAL,,34,23,,,,,,,10,14,1,82,764,10,2,0,https://www.seahawks.com/team/players-roster/aj-barner/
cooper-kupp,2017,Los Angeles Rams,15,6,,,,,,,,,,62,869,5,1,1,https://www.seahawks.com/team/players-roster/cooper-kupp/
cooper-kupp,2018,Los Angeles Rams,8,8,,,,,,,4,25,0,40,566,6,,,https://www.seahawks.com/team/players-roster/cooper-kupp/
cooper-kupp,2019,Los Angeles Rams,16,14,,,,,,,2,4,0,94,1161,10,3,0,https://www.seahawks.com/team/players-roster/cooper-kupp/
cooper-kupp,2020,Los Angeles Rams,15,12,,,,,,,4,33,0,92,974,3,1,1,https://www.seahawks.com/team/players-roster/cooper-kupp/
cooper-kupp,2021,Los Angeles Rams,17,17,,,,,,,4,18,0,145,1947,16,,,https://www.seahawks.com/team/players-roster/cooper-kupp/
cooper-kupp,2022,Los Angeles Rams,9,9,,,,,,,9,52,1,75,812,6,2,1,https://www.seahawks.com/team/players-roster/cooper-kupp/
cooper-kupp,2023,Los Angeles Rams,12,12,,,,,,,1,-3,0,59,737,5,0,0,https://www.seahawks.com/team/players-roster/cooper-kupp/
cooper-kupp,2024,Los Angeles Rams,12,11,,,,,,,2,10,0,67,710,6,1,0,https://www.seahawks.com/team/players-roster/cooper-kupp/
cooper-kupp,2025,Seattle Seahawks,16,15,,,,,,,,,,47,593,2,1,1,https://www.seahawks.com/team/players-roster/cooper-kupp/
cooper-kupp,TOTAL,,120,104,,,,,,,26,139,1,681,8369,59,9,4,https://www.seahawks.com/team/players-roster/cooper-kupp/
corey-kiner,2025,Arizona Cardinals,4,0,,,,,,,12,58,0,2,15,0,,,https://www.patriots.com/team/players-roster/corey-kiner/
corey-kiner,TOTAL,,4,0,,,,,,,12,58,0,2,15,0,0,0,https://www.patriots.com/team/players-roster/corey-kiner/
demario-douglas,2023,New England Patriots,14,7,,,,,,,8,41,0,49,561,0,3,1,https://www.patriots.com/team/players-roster/demario-douglas/
demario-douglas,2024,New England Patriots,17,7,,,,,,,3,16,0,66,621,3,1,0,https://www.patriots.com/team/players-roster/demario-douglas/
demario-douglas,2025,New England Patriots,17,0,,,,,,,7,21,0,31,447,3,,,https://www.patriots.com/team/players-roster/demario-douglas/
demario-douglas,TOTAL,,48,14,,,,,,,18,78,0,146,1629,6,4,1,https://www.patriots.com/team/players-roster/demario-douglas/
drake-maye,2024,New England Patriots,13,12,225,338,2276,15,10,34,54,421,2,,,,9,6,https://www.patriots.com/team/players-roster/drake-maye/
