team,unit,opponent,focal_plays,other_opponent_plays,opponent_epa_elsewhere
NE,offense,ATL,65,977,-0.006194
NE,offense,BAL,68,1004,0.015357
NE,offense,BUF,107,837,-0.035524
NE,offense,CAR,45,953,0.051958
NE,offense,CIN,66,965,0.136698
NE,offense,CLE,62,930,-0.105284
NE,offense,LV,68,981,0.033431
NE,offense,MIA,106,905,0.059384
NE,offense,NO,55,972,-0.072689
NE,offense,NYG,61,967,0.078252
NE,offense,NYJ,120,931,0.124218
NE,offense,PIT,71,1026,0.032537
NE,offense,TB,58,928,0.007129
NE,offense,TEN,62,926,0.092591
NE,defense,ATL,54,978,-0.026703
NE,defense,BAL,53,901,0.029724
NE,defense,BUF,125,931,0.139411
NE,defense,CAR,65,926,-0.037576
NE,defense,CIN,61,983,0.003726
NE,defense,CLE,52,972,-0.181294
NE,defense,LV,60,879,-0.237666
NE,defense,MIA,106,833,-0.006305
NE,defense,NO,51,1010,-0.08787
NE,defense,NYG,53,1022,0.017609
NE,defense,NYJ,120,881,-0.130221
NE,defense,PIT,46,927,0.030013
NE,defense,TB,66,991,-0.009889
NE,defense,TEN,51,944,-0.152942
SEA,offense,ARI,118,932,0.094906
SEA,offense,ATL,58,984,-0.014212
SEA,offense,CAR,65,933,0.075714
SEA,offense,HOU,65,912,-0.123018
SEA,offense,IND,56,1042,0.003705
SEA,offense,JAX,51,973,-0.112523
SEA,offense,LA,141,922,-0.05361
SEA,offense,MIN,62,954,-0.09557
SEA,offense,NO,53,974,-0.072239
SEA,offense,PIT,64,1033,0.016894
SEA,offense,SF,113,900,0.093406
SEA,offense,TB,54,932,-0.005334
SEA,offense,TEN,46,942,0.09444
SEA,offense,WAS,48,1020,0.128441
SEA,defense,ARI,137,933,0.004049
SEA,defense,ATL,62,970,-0.000286
SEA,defense,CAR,49,942,-0.012051
SEA,defense,HOU,69,1003,0.010448
SEA,defense,IND,58,946,0.085864
SEA,defense,JAX,67,1003,0.036003
SEA,defense,LA,138,918,0.152651
SEA,defense,MIN,49,890,-0.083928
SEA,defense,NO,70,991,-0.083256
SEA,defense,PIT,58,915,0.040342
SEA,defense,SF,112,948,0.107187
SEA,defense,TB,57,1000,-0.027837
SEA,defense,TEN,68,927,-0.170993
SEA,defense,WAS,62,910,0.009002
