team,phase,unit,games,plays,epa_per_play,success_rate,early_down_plays,early_down_epa,dropbacks,dropback_epa,sacks,sacks_per_dropback,designed_runs,designed_run_epa,designed_run_yards_per_attempt,explosive_passes_20,explosive_runs_10,explosive_passes_per_dropback,explosive_runs_per_designed_run,neutral_plays,neutral_dropback_rate,neutral_no_huddle_rate,red_zone_drives,red_zone_td_drives,red_zone_td_rate
NE,REG,offense,17,1017,0.159207,0.484759,794,0.132128,614,0.305703,48,0.078176,403,-0.063989,4.461538,69,40,0.112378,0.099256,396,0.580808,0.010101,61,39,0.639344
NE,REG,defense,17,966,-0.047123,0.44617,734,0.008601,591,-0.037839,35,0.059222,375,-0.061754,4.101333,42,34,0.071066,0.090667,305,0.563934,0.04918,44,28,0.636364
SEA,REG,offense,17,997,0.032795,0.46339,780,0.044763,520,0.121024,27,0.051923,477,-0.063388,4.249476,57,53,0.109615,0.111111,318,0.522013,0.072327,59,33,0.559322
SEA,REG,defense,17,1061,-0.115932,0.396795,779,-0.06508,693,-0.074709,47,0.067821,368,-0.193561,3.486413,44,18,0.063492,0.048913,328,0.567073,0.045732,54,27,0.5
NE,POST,offense,4,251,-0.188767,0.370518,190,-0.188868,156,-0.178646,21,0.134615,95,-0.205388,3.336842,14,5,0.089744,0.052632,98,0.581633,0.0,7,3,0.428571
NE,POST,defense,4,260,-0.25366,0.342308,197,-0.20761,173,-0.279707,13,0.075145,87,-0.201867,3.08046,6,6,0.034682,0.068966,76,0.618421,0.065789,12,3,0.25
SEA,POST,offense,3,188,0.108444,0.441489,149,0.094937,99,0.257238,6,0.060606,89,-0.057067,4.11236,5,11,0.050505,0.123596,63,0.571429,0.095238,15,9,0.6
SEA,POST,defense,3,184,-0.162599,0.413043,143,-0.035677,129,-0.141784,9,0.069767,55,-0.21142,3.763636,14,3,0.108527,0.054545,30,0.566667,0.0,4,3,0.75
NE,SB,offense,1,67,-0.30933,0.402985,51,-0.258107,54,-0.329964,6,0.111111,13,-0.223618,3.230769,5,0,0.092593,0.0,13,0.615385,0.0,1,1,1.0
NE,SB,defense,1,71,-0.049616,0.338028,55,0.014221,40,0.028828,1,0.025,31,-0.150834,4.193548,2,5,0.05,0.16129,16,0.625,0.125,4,1,0.25
SEA,SB,offense,1,71,-0.049616,0.338028,55,0.014221,40,0.028828,1,0.025,31,-0.150834,4.193548,2,5,0.05,0.16129,16,0.625,0.125,4,1,0.25
SEA,SB,defense,1,67,-0.30933,0.402985,51,-0.258107,54,-0.329964,6,0.111111,13,-0.223618,3.230769,5,0,0.092593,0.0,13,0.615385,0.0,1,1,1.0
